线路,线路类型,现设计时速,电气化,建成年份,起点,终点,途径站点,,
滨北线-北段,普速铁路,N/A,否,1928.12,哈尔滨,绥化,哈尔滨-绥化,,
滨北线-南段,普速铁路,N/A,否,1932.12,绥化,北安,绥化-北安,,
齐北线,普速铁路,N/A,否,1933,齐齐哈尔,北安,齐齐哈尔-富裕-北安,,
北黑线,普速铁路,N/A,否,1934.11,北安,黑河,北安-黑河,,
滨绥线-哈牡段,快速铁路,200,是,1901.3.3,哈尔滨,牡丹江,哈尔滨-牡丹江,实际为普速铁路，但有D通过,
滨绥线-牡绥段,快速铁路,N/A,否,1901.3.4,牡丹江,绥芬河,牡丹江-绥芬河,电气化后，仅有D字头车,
哈佳线,快速铁路,200,是,2018.9.30,哈尔滨,佳木斯,哈尔滨-佳木斯,,
哈牡客运专线,高速铁路,250,是,2018.12.25,哈尔滨,牡丹江,哈尔滨-牡丹江,,
邯长铁路,普速铁路,N/A,是,1984.5,邯郸,长治北,邯郸-长治北,新乡、焦作绕行更快，只看非K打头，但二者速度很近可以忽略,
武孝城际,快速铁路,200,是,2016.12.1,汉口,孝感东,汉口-孝感东,,
汉丹铁路,快速铁路,200,是,1966,武昌,襄州,武昌-云梦-襄州,,
宁蓉线宁渝段-合宁铁路,高速铁路,250,是,2008.4.18,南京南,合肥南,南京南-合肥南,,为简化，当成高速铁路，实际是快速铁路
宁蓉线宁渝段-合武铁路,快速铁路,250,是,2008.12.31,合肥南,汉口,合肥南-汉口,,
宁蓉线宁渝段-汉宜铁路,快速铁路,250,是,2012.7.1,汉口,宜昌东,汉口-宜昌东,,
宁蓉线宁渝段-宜万铁路宜凉段,快速铁路,160,是,2010.12.22,宜昌东,利川,宜昌东-利川,,
宁蓉线宁渝段-渝利铁路,快速铁路,200,是,2013.12.18,利川,重庆北,利川-重庆北,,
宣杭铁路,普速铁路,80,否,1994.7.1,宣城,杭州,宣城-杭州,,
萧甬线,普速铁路,160,是,1937,杭州南,宁波,杭州南-宁波,,
杭黄客运专线,高速铁路,250,是,2018.12.25,杭州南,黄山北,杭州南-黄山北,,
西合铁路,普速铁路,N/A,是,2004.1,西安,合肥,西安-南阳-信阳-合肥,南阳、信阳,
淮南铁路,普速铁路,140,是,1944,淮南,芜湖,淮南-合肥-芜湖,,
合九铁路,普速铁路,N/A,否,1994,合肥,九江,合肥-九江,,
怀衡铁路,快速铁路,200,是,2018.12.26,怀化南,衡阳东,怀化南-衡阳东,,
张呼客运专线,高速铁路,250,是,2018.12.30,张家口,呼和浩特东,张家口-乌兰察布-呼和浩特东,,
皖赣线-芜宣段,普速铁路,160,是,1934.7.29,芜湖,宣城,芜湖-宣城,,
皖赣线-宣贵段,普速铁路,120,否,1982.10.1,宣城,鹰潭,宣城-黄山-鹰潭,,
